osm_type,osm_id,osm_full_id,station_name,name_ko,name_en,lat,lon,railway,public_transport,station,subway,operator
node,6039313647,node/6039313647,광화문,광화문,Gwanghwamun,37.5716162,126.9769026,station,station,subway,yes,서울교통공사
node,6039313652,node/6039313652,서대문,서대문,Seodaemun,37.5657953,126.9666351,station,station,subway,yes,서울교통공사
node,6039313658,node/6039313658,애오개,애오개,Aeogae,37.553428,126.9566976,station,station,subway,yes,서울교통공사
node,6039313661,node/6039313661,공덕,공덕,Gongdeok,37.5436538,126.9508061,station,station,subway,yes,서울교통공사;한국철도공사;공항철도주식회사
node,6039313662,node/6039313662,마포,마포,Mapo,37.5396369,126.9459929,station,station,subway,yes,서울교통공사
node,6039313663,node/6039313663,여의나루,여의나루,Yeouinaru,37.5268526,126.9325288,station,station,subway,yes,서울교통공사
node,6039313670,node/6039313670,여의도,여의도,Yeouido,37.5216685,126.9243018,station,station,subway,yes,서울교통공사;서울시메트로9호선
node,6039313679,node/6039313679,영등포시장,영등포시장,Yeongdeungpo Market,37.5226934,126.9051415,station,station,subway,yes,서울교통공사
node,6039313682,node/6039313682,영등포구청,영등포구청,Yeongdeungpo-gu Office,37.5240181,126.8963369,station,station,subway,yes,서울교통공사
node,6039313683,node/6039313683,양평,양평,Yangpyeong,37.5256329,126.8861176,station,station,subway,yes,서울교통공사
node,6039313988,node/6039313988,오목교,오목교,Omokgyo,37.5245648,126.8751222,station,station,subway,yes,서울교통공사
node,6039313992,node/6039313992,목동,목동,Mok-dong,37.5261241,126.8645174,station,station,subway,yes,서울교통공사
node,6039313994,node/6039313994,신정,신정,Sinjeong,37.5250413,126.8559699,station,station,subway,yes,서울교통공사
node,6039313997,node/6039313997,까치산,까치산,Kkachisan,37.5321119,126.8465265,station,station,subway,yes,서울교통공사
node,6039314002,node/6039314002,화곡,화곡,Hwagok,37.5416728,126.840397,station,station,subway,yes,서울교통공사
node,6039314018,node/6039314018,우장산,우장산,Ujangsan,37.5488943,126.8363227,station,station,subway,yes,서울교통공사
node,6039314025,node/6039314025,발산,발산,Balsan,37.5584951,126.8374653,station,station,subway,yes,서울교통공사
node,6039314027,node/6039314027,마곡,마곡,Magok,37.5602492,126.8247463,station,station,subway,yes,서울교통공사
node,6039314028,node/6039314028,송정,송정,Songjeong,37.5612772,126.8119428,station,station,subway,yes,서울교통공사
node,6039314030,node/6039314030,개화산,개화산,Gaehwasan,37.5728758,126.8082601,station,station,subway,yes,서울교통공사
node,6039314033,node/6039314033,방화,방화,Banghwa,37.5774043,126.812732,station,station,subway,yes,서울교통공사
node,6041673022,node/6041673022,봉화산,봉화산,Bonghwasan,37.6174165,127.0910968,station,station,subway,yes,서울교통공사
node,6041673023,node/6041673023,화랑대,화랑대,Hwarangdae,37.6197841,127.0837122,station,station,subway,yes,서울교통공사
node,6041673026,node/6041673026,석계,석계,Seokgye,37.6148083,127.0658393,station,station,subway,yes,한국철도공사
node,6041673029,node/6041673029,돌곶이,돌곶이,Dolgoji,37.6105663,127.0564932,station,station,subway,yes,서울교통공사
node,6041673030,node/6041673030,상월곡,상월곡,Sangwolgok,37.6062379,127.0482722,station,station,subway,yes,서울교통공사
node,6041673033,node/6041673033,월곡,월곡,Wolgok,37.60192,127.0414554,station,station,subway,yes,서울교통공사
node,6041673044,node/6041673044,안암,안암,Anam,37.5862688,127.0292777,station,station,subway,yes,서울교통공사
node,6041673049,node/6041673049,창신,창신,Changsin,37.5798042,127.0152468,station,station,subway,yes,서울교통공사
node,6041673050,node/6041673050,청구,청구,Cheonggu,37.5602311,127.0137776,station,station,subway,yes,서울교통공사
node,6041673060,node/6041673060,버티고개,버티고개,Beotigogae,37.5482323,127.0065879,station,station,subway,yes,서울교통공사
node,6041673074,node/6041673074,한강진,한강진,Hangangjin,37.5397964,127.0017506,station,station,subway,yes,서울교통공사
node,6041673081,node/6041673081,이태원,이태원,Itaewon,37.5345026,126.9943705,station,station,subway,yes,서울교통공사
node,6041673082,node/6041673082,녹사평,녹사평,Noksapyeong,37.53492,126.9865773,station,station,subway,yes,서울교통공사
node,6041674894,node/6041674894,효창공원앞,효창공원앞,Hyochang Park,37.5393413,126.9613324,station,station,subway,yes,서울교통공사;한국철도공사
node,6041674899,node/6041674899,대흥,대흥,Daeheung,37.5476992,126.9423451,station,station,subway,yes,서울교통공사
node,6041674901,node/6041674901,광흥창,광흥창,Gwangheungchang,37.5474717,126.9319609,station,station,subway,yes,서울교통공사
node,6041674902,node/6041674902,상수,상수,Sangsu,37.5477577,126.9228923,station,station,subway,yes,서울교통공사
node,6041674907,node/6041674907,망원,망원,Mangwon,37.5560254,126.9101277,station,station,subway,yes,서울교통공사
node,6041674909,node/6041674909,마포구청,마포구청,Mapo-gu Office,37.5635586,126.9033645,station,station,subway,yes,서울교통공사
node,6041674912,node/6041674912,월드컵경기장,월드컵경기장,World Cup Stadium,37.5701918,126.8993179,station,station,subway,yes,서울교통공사
node,6041674915,node/6041674915,증산,증산,Jeungsan,37.5841441,126.9099118,station,station,subway,yes,서울교통공사
node,6041674916,node/6041674916,새절,새절,Saejeol,37.5916491,126.9137922,station,station,subway,yes,서울교통공사
node,6041674917,node/6041674917,구산,구산,Gusan,37.6112496,126.9172191,station,station,subway,yes,서울교통공사
node,6041674920,node/6041674920,연신내,연신내,Yeonsinnae,37.6189247,126.9211838,station,station,subway,yes,서울교통공사
node,6041674927,node/6041674927,독바위,독바위,Dokbawi,37.6183371,126.9330214,station,station,subway,yes,서울교통공사
node,6041674939,node/6041674939,역촌,역촌,Yeokchon,37.6060733,126.9227556,station,station,subway,yes,서울교통공사
node,6046633858,node/6046633858,어린이대공원,어린이대공원,Children's Grand Park,37.5475998,127.0743915,station,station,subway,yes,서울교통공사
node,6046633861,node/6046633861,군자,군자,Gunja,37.5572448,127.0795575,station,station,subway,yes,서울교통공사
node,6046633862,node/6046633862,중곡,중곡,Junggok,37.5663055,127.0845155,station,station,subway,yes,서울교통공사
node,6046633863,node/6046633863,용마산,용마산,Yongmasan,37.573993,127.0865798,station,station,subway,yes,서울교통공사
node,6046633864,node/6046633864,사가정,사가정,Sagajeong,37.5806971,127.0884106,station,station,subway,yes,서울교통공사
node,6046633865,node/6046633865,면목,면목,Myeonmok,37.5884004,127.0876041,station,station,subway,yes,서울교통공사
node,6046633868,node/6046633868,상봉,상봉,Sangbong,37.5960832,127.0855918,station,station,subway,yes,서울교통공사
node,6046633869,node/6046633869,중화,중화,Junghwa,37.6016267,127.0795172,station,station,subway,yes,서울교통공사
node,6046633870,node/6046633870,먹골,먹골,Meokgol,37.6114417,127.0776518,station,station,subway,yes,서울교통공사
node,6046633871,node/6046633871,태릉입구,태릉입구,Taereung,37.6176924,127.0756723,station,station,subway,yes,서울교통공사
node,6046633874,node/6046633874,공릉,공릉,Gongneung,37.6256358,127.0730437,station,station,subway,yes,서울교통공사
node,6046633875,node/6046633875,하계,하계,Hagye,37.6360179,127.068252,station,station,subway,yes,서울교통공사
node,6046633876,node/6046633876,중계,중계,Junggye,37.6455373,127.0638733,station,station,subway,yes,서울교통공사
node,6046633877,node/6046633877,노원,노원,Nowon,37.6545911,127.0604932,station,station,subway,yes,서울교통공사
node,6046633880,node/6046633880,마들,마들,Madeul,37.665038,127.0577205,station,station,subway,yes,서울교통공사
node,6046633881,node/6046633881,수락산,수락산,Suraksan,37.6778035,127.0553431,station,station,subway,yes,서울교통공사
node,6048953566,node/6048953566,광명사거리,광명사거리,Gwangmyeongsageori,37.4794207,126.8544598,station,station,subway,yes,서울교통공사
node,6048953567,node/6048953567,철산,철산,Cheolsan,37.4760012,126.8675973,station,station,subway,yes,서울교통공사
node,6048953568,node/6048953568,가산디지털단지,가산디지털단지,Gasan Digital Complex,37.4815947,126.8826166,station,station,subway,yes,한국철도공사
node,6048953569,node/6048953569,남구로,남구로,Namguro,37.4853612,126.8866651,station,station,subway,yes,서울교통공사
node,6048953572,node/6048953572,대림,대림,Daerim,37.4934375,126.8949325,station,station,subway,yes,서울교통공사
node,6048953575,node/6048953575,신풍,신풍,Sinpung,37.5001667,126.9088751,station,station,subway,yes,서울교통공사
node,6048953576,node/6048953576,보라매,보라매,Boramae,37.4999284,126.9203764,station,station,subway,yes,서울교통공사
node,6048953577,node/6048953577,신대방삼거리,신대방삼거리,Sindaebangsamgeori,37.499706,126.9282246,station,station,subway,yes,서울교통공사
node,6048953578,node/6048953578,장승배기,장승배기,Jangseungbaegi,37.5050172,126.9392793,station,station,subway,yes,서울교통공사
node,6048953579,node/6048953579,상도,상도,Sangdo,37.503216,126.9476726,station,station,subway,yes,서울교통공사
